Wall time,Step,Value
1589692179.8508403,6440,292.63922119140625
1589692202.5521474,6463,247.54893493652344
1589692225.2823987,6486,242.63961791992188
1589692247.741612,6509,275.5379943847656
1589692269.7454693,6532,294.7205810546875
1589692292.0617485,6555,350.13836669921875
1589692314.8807564,6578,318.2501220703125
1589692336.8701034,6601,565.2716064453125
1589692359.4200888,6624,727.4083251953125
1589692382.503394,6647,778.3383178710938
1589692404.5486217,6670,1404.7706298828125
1589692426.0445185,6693,1227.391845703125
1589692448.233734,6716,1473.7647705078125
1589692470.3967717,6739,3231.858642578125
1589692493.4268985,6762,29985208.0
1589692515.9426155,6785,1023898496.0
1589692538.022091,6808,157077664.0
1589692560.0008256,6831,40626232.0
1589692582.1443725,6854,9186706.0
1589692605.200844,6877,5250563.5
1589692627.098031,6900,2352852.25
1589692649.4461634,6923,1654711.625
1589692671.6341517,6946,1124207.625
1589692693.3940165,6969,805629.5
1589692715.5492415,6992,616106.5625
1589692738.0848105,7015,576300.125
1589692760.2456152,7038,500738.625
1589692781.8326452,7061,700931.6875
1589692804.4817426,7084,704465.0
1589692827.083315,7107,299011.65625
1589692849.8968759,7130,292284.375
1589692872.4951637,7153,208667.265625
1589692894.7569332,7176,240825.828125
1589692917.2313516,7199,244185.5
1589692939.5738738,7222,215831.140625
1589692961.5883596,7245,202584.78125
1589692984.1302295,7268,233591.5
1589693006.26237,7291,186668.765625
1589693028.5609064,7314,168211.28125
1589693051.14502,7337,134239.0625
1589693073.192515,7360,141355.921875
1589693096.0998108,7383,176044.515625
1589693118.7611718,7406,131281.953125
1589693141.498611,7429,154507.203125
1589693163.4688447,7452,153372.640625
1589693185.7935228,7475,122858.4140625
1589693208.479131,7498,157886.140625
1589693230.289019,7521,138973.5625
1589693252.5326343,7544,109195.28125
1589693275.1062276,7567,96287.3359375
1589693297.2145903,7590,117997.8046875
1589693319.6072717,7613,107072.9375
1589693341.6034112,7636,99749.515625
1589693363.3228993,7659,101688.765625
1589693386.050544,7682,106375.5546875
1589693408.7769072,7705,117372.046875
1589693430.7146978,7728,131696.328125
1589693454.1320388,7751,100076.078125
1589693476.746409,7774,93835.28125
1589693498.7850406,7797,107326.4765625
1589693521.283136,7820,114879.9609375
1589693543.8336458,7843,122824.8515625
1589693566.7040389,7866,134196.65625
1589693588.997613,7889,104220.609375
1589693611.4903185,7912,85805.359375
1589693634.026973,7935,78449.3984375
1589693656.4334085,7958,81763.828125
1589693678.4915435,7981,79655.3359375
1589693700.5353854,8004,88685.625
1589693723.1028373,8027,112541.4609375
1589693745.3379385,8050,137948.890625
1589693767.5308928,8073,105620.890625
1589693789.7002957,8096,89620.375
1589693811.6113532,8119,78116.6328125
1589693833.7754185,8142,104738.3046875
1589693856.0450172,8165,108088.609375
1589693878.6032312,8188,72304.2890625
1589693900.9701097,8211,95342.28125
1589693923.2456234,8234,88875.9609375
1589693945.3610494,8257,94325.890625
1589693967.4302225,8280,104874.1875
1589693990.8199215,8303,94569.78125
1589694013.226437,8326,79140.5
1589694035.386014,8349,105884.6328125
1589694058.1591425,8372,93796.5
1589694081.1144176,8395,85689.65625
1589694103.8308053,8418,83496.421875
1589694126.5492556,8441,123973.0234375
1589694148.6874218,8464,100101.515625
